Year,AB,BC,MB,NS,ON,QC,SK
1993,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0.6,0,0
1997,0,0,0,0,0.6,0,0
1998,0,0,0,0,0.6,0,0
1999,0,0,0,0,0.6,99,0
2000,0,0,0,0,0.6,99,0
2001,66.14,0,0,0,0.6,99,11.22
2002,69.92,0,0,0.6,3.06,99,11.22
2003,145.82,0,0,0.6,12.06,99,21.78
2004,179.72,0,0,0.6,12.81,99,21.78
2005,179.72,0,0,34,12.81,209,21.78
2006,280.22,0,0,59.9,12.81,318.5,171.18
2007,428.69,0,0,59.9,346.82,419,171.18
2008,428.69,0,0,59.9,424.42,528.5,171.18
2009,494.69,102,0,110.9,782.87,661.8,171.18
2010,781.49,103.5,0,219.5,1168.77,665.9,171.18
2011,869.49,247.5,138,283.1,1458.67,824.9,197.58
2012,1095.12,389.7,258.45,321.5,1970.97,1217.6,197.58
2013,1095.12,488.7,258.45,335.07,2034.89,2267.5,198.38
2014,1449.52,488.7,258.45,365.72,2472.47,2696.05,198.38
2015,1478.42,488.7,258.45,548.39,3471.39,3266.75,221.38
2016,1478.42,488.7,258.45,582.52,4370.43,3515.4,221.38
2017,1478.42,697.7,258.45,618.77,4784.63,3515.4,221.38
2018,1478.42,697.7,258.45,618.77,4903.38,3882.65,221.38
2019,1778.42,712.7,258.45,618.77,5089.78,3882.65,241.38
2020,1778.42,712.7,258.45,618.77,5089.78,3882.65,241.38
